passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle
P345,8587255,8592374,1906.0525247625364,2305.0,2606.0,ARRIVED,398.94747523746355,301.0,699.9474752374636,
P346,8587255,8592374,2324.081551313257,2364.0,2612.0,ARRIVED,39.91844868674298,248.0,287.918448686743,
P347,8589161,8589141,2395.5769742287125,2916.0,3495.0,ARRIVED,520.4230257712875,579.0,1099.4230257712875,
P348,8589161,8589152,2163.6766534061708,2256.0,2791.0,ARRIVED,92.32334659382923,535.0,627.3233465938292,
P349,8589161,8589138,2326.6955170834535,2916.0,3373.0,ARRIVED,589.3044829165465,457.0,1046.3044829165465,
P350,8589161,8587255,1827.9068770460885,,,WAITING,,,,MINIBUS_1
P351,8589161,8587255,2025.8125125853437,2256.0,2392.0,ARRIVED,230.1874874146563,136.0,366.1874874146563,
P352,8589161,8577786,2164.905157175772,2440.0,3052.0,ARRIVED,275.0948428242282,612.0,887.0948428242282,
P353,8589161,8504622,1897.4620259685391,2256.0,2639.0,ARRIVED,358.53797403146086,383.0,741.5379740314609,
P354,8589161,8504622,1959.9832743993584,2256.0,2639.0,ARRIVED,296.0167256006416,383.0,679.0167256006416,
P355,8589161,8504622,2146.900854040588,2256.0,2639.0,ARRIVED,109.099145959412,383.0,492.099145959412,
P356,8589161,8504622,2277.686914425608,2916.0,3324.0,ARRIVED,638.3130855743921,408.0,1046.313085574392,
P357,8589161,8589271,1848.5533706599108,2916.0,3550.0,ARRIVED,1067.4466293400892,634.0,1701.4466293400892,
P358,8589161,8589270,2260.847060647254,2433.0,2784.0,ARRIVED,172.15293935274622,351.0,523.1529393527462,
P359,8589161,8589158,2136.1814334975993,2433.0,2885.0,ARRIVED,296.8185665024007,452.0,748.8185665024007,
P360,8589161,8589158,2367.0473502273626,2433.0,2885.0,ARRIVED,65.95264977263741,452.0,517.9526497726374,
P361,8592374,8589141,2162.7451637998693,2741.999984741211,2755.7999877929688,ARRIVED,579.2548209413417,13.800003051757812,593.0548239930995,MINIBUS_1
P362,8592374,8589152,2398.347705006687,2735.0,3447.0,ARRIVED,336.6522949933128,712.0,1048.6522949933128,
P363,8592374,8589138,2085.1212058774117,2115.0,2696.0,ARRIVED,29.87879412258826,581.0,610.8787941225883,
