================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[ARRIVE         ] MINIBUS_5:    8589270 -> 8589158    | travel=  78.0s | occ= 2/8 | t= 6220.8s | arrive= 6298.8s
[UPDATE_ROUTE   ] MINIBUS_3:    8589158 -> 8589138    | travel= 115.2s | occ= 0/8 | t= 6300.0s | arrive= 6415.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8589161 -> 8592374    | travel= 100.2s | occ= 0/8 | t= 6300.0s | arrive= 6400.2s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t= 6400.2s | arrive= 6492.0s
[ARRIVE         ] MINIBUS_3:    8589138 -> 8589141    | travel=  94.8s | occ= 1/8 | t= 6415.2s | arrive= 6510.0s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8504622    | travel= 394.8s | occ= 2/8 | t= 6492.0s | arrive= 6886.8s
[ARRIVE         ] MINIBUS_3:    8589141 -> 8591766    | travel= 153.0s | occ= 2/8 | t= 6510.0s | arrive= 6663.0s
[ARRIVE         ] MINIBUS_2:    8577786 -> 8589131    | travel= 114.0s | occ= 1/8 | t= 6525.6s | arrive= 6639.6s
[UPDATE_ROUTE   ] MINIBUS_1:    8589130 -> 8588344    | travel= 297.0s | occ= 0/8 | t= 6600.0s | arrive= 6897.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8589158 -> 8589158    | travel=   0.0s | occ= 0/8 | t= 6600.0s | arrive= 6600.0s
[ARRIVE         ] MINIBUS_5:    8589158 -> 8591766    | travel=  87.0s | occ= 1/8 | t= 6600.0s | arrive= 6687.0s
[ARRIVE         ] MINIBUS_3:    8591766 -> 8589161    | travel= 397.2s | occ= 3/8 | t= 6663.0s | arrive= 7060.2s
[ARRIVE         ] MINIBUS_5:    8591766 -> 8592374    | travel= 477.0s | occ= 1/8 | t= 6687.0s | arrive= 7164.0s
[ARRIVE         ] MINIBUS_4:    8504622 -> 8589152    | travel=  79.2s | occ= 1/8 | t= 6886.8s | arrive= 6966.0s
[ARRIVE         ] MINIBUS_1:    8588344 -> 8592374    | travel= 511.2s | occ= 1/8 | t= 6897.0s | arrive= 7408.2s
[UPDATE_ROUTE   ] MINIBUS_2:    8589131 -> 8592374    | travel= 496.2s | occ= 0/8 | t= 6900.0s | arrive= 7396.2s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8592374    | travel= 100.2s | occ= 2/8 | t= 7060.2s | arrive= 7160.4s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 7164.0s | arrive= 7164.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8577820    | travel= 202.8s | occ= 2/8 | t= 7164.0s | arrive= 7366.8s
[UPDATE_ROUTE   ] MINIBUS_3:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t= 7200.0s | arrive= 7200.0s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8587255    | travel= 175.8s | occ= 5/8 | t= 7200.0s | arrive= 7375.8s
[ARRIVE         ] MINIBUS_5:    8577820 -> 8588344    | travel= 367.2s | occ= 1/8 | t= 7366.8s | arrive= 7734.0s
[ARRIVE         ] MINIBUS_3:    8587255 -> 8589152    | travel= 397.2s | occ= 4/8 | t= 7375.8s | arrive= 7773.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8589130    | travel= 592.2s | occ= 0/8 | t= 7396.2s | arrive= 7988.4s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 7500.0s | arrive= 7500.0s
[UPDATE_ROUTE   ] MINIBUS_4:    8589152 -> 8589152    | travel=   0.0s | occ= 0/8 | t= 7500.0s | arrive= 7500.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8592375    | travel= 306.0s | occ= 3/8 | t= 7500.0s | arrive= 7806.0s
[ARRIVE         ] MINIBUS_4:    8589152 -> 8589161    | travel= 499.2s | occ= 1/8 | t= 7500.0s | arrive= 7999.2s
[ARRIVE         ] MINIBUS_3:    8589152 -> 8589141    | travel=  43.2s | occ= 3/8 | t= 7773.0s | arrive= 7816.2s
[UPDATE_ROUTE   ] MINIBUS_5:    8588344 -> 8577785    | travel= 295.2s | occ= 0/8 | t= 7800.0s | arrive= 8095.2s
[ARRIVE         ] MINIBUS_1:    8592375 -> 8577785    | travel= 183.0s | occ= 2/8 | t= 7806.0s | arrive= 7989.0s
[ARRIVE         ] MINIBUS_3:    8589141 -> 8592374    | travel= 619.2s | occ= 1/8 | t= 7816.2s | arrive= 8435.4s
[ARRIVE         ] MINIBUS_2:    8589130 -> 8592374    | travel= 571.8s | occ= 0/8 | t= 7988.4s | arrive= 8560.2s
[ARRIVE         ] MINIBUS_1:    8577785 -> 8577786    | travel= 130.8s | occ= 1/8 | t= 7989.0s | arrive= 8119.8s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8589161    | travel=   0.0s | occ= 0/8 | t= 7999.2s | arrive= 7999.2s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8592377    | travel= 364.8s | occ= 1/8 | t= 7999.2s | arrive= 8364.0s
[ARRIVE         ] MINIBUS_5:    8577785 -> 8592377    | travel=  87.0s | occ= 1/8 | t= 8095.2s | arrive= 8182.2s
[ARRIVE         ] MINIBUS_5:    8592377 -> 8577785    | travel= 112.8s | occ= 2/8 | t= 8182.2s | arrive= 8295.0s
[ARRIVE         ] MINIBUS_5:    8577785 -> 8592374    | travel= 349.2s | occ= 3/8 | t= 8295.0s | arrive= 8644.2s
[ARRIVE         ] MINIBUS_4:    8592377 -> 8589161    | travel= 394.2s | occ= 0/8 | t= 8364.0s | arrive= 8758.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8577786 -> 8588344    | travel= 138.0s | occ= 0/8 | t= 8400.0s | arrive= 8538.0s
[ARRIVE         ] MINIBUS_1:    8588344 -> 8592377    | travel= 325.2s | occ= 1/8 | t= 8538.0s | arrive= 8863.2s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577820    | travel= 202.8s | occ= 1/8 | t= 8560.2s | arrive= 8763.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8592374 -> 8577820    | travel= 202.8s | occ= 0/8 | t= 8700.0s | arrive= 8902.8s
